"cofog-level-1","cofog-level-2","name","currency","2008","2009","2010","2011","2012","2013"
"1","0","General public services","EUR","30653700","31973100","31029000","32437000","33324100","33406500"
"1","1","Executive and legislative organs, financial, fiscal and external affairs","EUR","8572700","9738400","9398300","9842300","10021800","10647000"
"1","2","Foreign economic aid","EUR","1034600","1080500","1133600","1317800","996600","1014400"
"1","3","General services","EUR","3909500","4247900","3785800","3989000","4253100","4314800"
"1","4","Basic research","EUR","3420000","3704100","3846400","3948900","4320700","4435300"
"1","5","RandD General public services","EUR","58100","64500","56200","61500","50500","51900"
"1","6","General public services n.e.c.","EUR","83000","96700","76600","103700","125200","129300"
"1","7","Public debt transactions","EUR","13570000","13035200","12728300","13170400","13551200","12809200"
"1","8","Transfers of a general character between different levels of government","EUR","5800","5700","3900","3300","4900","4700"
"2","0","Defence","EUR","3761500","3513600","3553400","3584600","3588500","3676700"
"2","1","Military defence","EUR","3609600","3394600","3418900","3432500","3449600","3558000"
"2","2","Civil defence","EUR","0","0","0","0","0","0"
"2","3","Foreign military aid","EUR","117700","88300","102000","119700","105700","83000"
"2","4","RandD Defence","EUR","24400","4900","22500","22300","23800","26200"
"2","5","Defence n.e.c.","EUR","9800","25800","10000","10100","9400","9400"
"3","0","Public order and safety","EUR","6146600","6435900","6604000","6878700","7052300","7294400"
"3","1","Police services","EUR","3718500","3897400","3984400","3925100","4081600","4189100"
"3","2","Fire-protection services","EUR","699500","750700","773900","829200","854600","887800"
"3","3","Law courts","EUR","1011900","990200","1034300","1060300","1123400","1074700"
"3","4","Prisons","EUR","464200","508000","539700","575600","617600","617500"
"3","5","RandD Public order and safety","EUR","9900","18000","17400","15700","10500","10500"
"3","6","Public order and safety n.e.c.","EUR","242600","271500","254500","472800","364600","514700"
"4","0","Economic affairs","EUR","20771600","22535900","24033500","26431200","29011100","26182000"
"4","1","General economic, commercial and labour affairs","EUR","8946600","10250500","11724500","13172000","15529700","12957000"
"4","2","Agriculture, forestry, fishing and hunting","EUR","244200","226900","246900","197900","228000","259800"
"4","3","Fuel and energy","EUR","464400","638700","688400","844000","979700","1098200"
"4","4","Mining, manufacturing and construction","EUR","6300","4500","3900","6600","16500","14100"
"4","5","Transport","EUR","9432100","9717400","9761500","10515400","10472600","10403900"
"4","6","Communication","EUR","416400","370700","222900","310900","321800","-53600"
"4","7","Other industries","EUR","465500","484900","475000","415300","419000","425400"
"4","8","RandD Economic affairs","EUR","776200","824600","891900","946800","1012700","1048900"
"4","9","Economic affairs n.e.c.","EUR","19900","17800","18600","22400","31200","28300"
"5","0","Environment protection","EUR","2115000","2215300","2665300","3603000","3522100","3787600"
"5","1","Waste management","EUR","997200","1043900","1104100","1127600","1153900","1157200"
"5","2","Waste water management","EUR","203300","193400","25100","124100","181700","215900"
"5","3","Pollution abatement","EUR","251800","283900","794000","1549900","1378600","1542500"
"5","4","Protection of biodiversity and landscape","EUR","177000","158400","170300","189200","172200","209400"
"5","5","RandD Environmental protection","EUR","41400","26700","36800","37200","43000","38300"
"5","6","Environmental protection n.e.c.","EUR","444300","509000","535000","574900","592900","624300"
"6","0","Housing and community amenities","EUR","1222400","1033500","1295000","1379100","1489000","1288800"
"6","1","Housing development","EUR","423800","399900","505300","532500","564300","445000"
"6","2","Community development","EUR","279600","297800","326600","357600","385000","315400"
"6","3","Water supply","EUR","240100","36200","147100","189500","231200","198700"
"6","4","Street lighting","EUR","217400","231300","240900","222000","244300","261300"
"6","5","RandD Housing and community amenities","EUR","2200","1900","1300","1100","2300","2300"
"6","6","Housing and community amenities n.e.c.","EUR","59400","66200","73900","76500","61800","66100"
"7","0","Health","EUR","25287300","26876100","27870800","29085400","30829700","31354900"
"7","1","Medical products, appliances and equipment","EUR","3095300","3245200","3281100","3414100","3354400","3272900"
"7","2","Outpatient services","EUR","8726800","9510300","9781000","10338000","10936300","11304300"
"7","3","Hospital services","EUR","12347700","12911200","13516900","13771500","14725100","15253900"
"7","4","Public health services","EUR","449200","533100","549600","547700","582600","564100"
"7","5","RandD Health","EUR","52700","52700","38900","35800","36100","32100"
"7","6","Health n.e.c.","EUR","615600","623500","703200","978300","1195200","927600"
"8","0","Recreation, culture and religion","EUR","4283900","3952800","4522300","4668600","4939000","5055300"
"8","1","Recreational and sporting services","EUR","1275800","1349400","1391900","1412600","1545000","1590700"
"8","2","Cultural services","EUR","1646500","1204200","1764400","1881400","1945000","2053700"
"8","3","Broadcasting and publishing services","EUR","914000","925100","882200","848500","884900","927600"
"8","4","Religious and other community services","EUR","275900","281600","280400","310100","341800","268600"
"8","5","RandD Recreation, culture and religion","EUR","30500","31200","32500","34200","31700","30400"
"8","6","Recreation, culture and religion n.e.c.","EUR","141100","161300","171000","181700","190600","184200"
"9","0","Education","EUR","20128800","20990800","22308000","23766000","24566200","25286300"
"9","1","Pre-primary and primary education","EUR","6592300","6675500","7060000","7399100","7702500","7968400"
"9","2","Secondary education","EUR","8383400","8535000","8928500","9275400","9548600","9770200"
"9","3","Post-secondary non-tertiary education","EUR","100","0","0","0","0","0"
"9","4","Tertiary education","EUR","2569300","2974500","3869300","4445100","4627100","4674900"
"9","5","Education not definable by level","EUR","1571200","1710600","1212500","1328300","1300800","1577800"
"9","6","Subsidiary services to education","EUR","460400","520500","605100","695500","812700","734600"
"9","7","RandD Education","EUR","4100","6300","5600","4000","5000","6700"
"9","8","Education n.e.c.","EUR","548000","568400","627000","618500","569300","553600"
"10","0","Social protection","EUR","61159000","66528000","67512900","70448500","74380200","77745100"
"10","1","Sickness and disability","EUR","8523100","9125800","9284000","9788300","10536800","10885900"
"10","2","Old age","EUR","26105100","28089500","29028900","30406100","32359500","34783300"
"10","3","Survivors","EUR","6557100","6804000","6908900","7111200","7339900","7469800"
"10","4","Family and children","EUR","7897700","8337700","8501800","8994800","9352900","9610500"
"10","5","Unemployment","EUR","7756200","9001500","8920300","8778900","8971900","9253100"
"10","6","Housing","EUR","431700","570600","378500","415000","561900","563900"
"10","7","Social exclusion n.e.c.","EUR","3054900","3574300","3694400","4095700","4291000","4180500"
"10","8","RandD Social protection","EUR","21300","21200","21200","19800","22900","22800"
"10","9","Social protection n.e.c.","EUR","811900","1003400","775000","838700","943400","975400"
